pipeline.py[LINE:38]# INFO     [2025-07-30 15:28:11,380] Starting MNIST pipeline ...
pipeline.py[LINE:39]# INFO     [2025-07-30 15:45:34,400] Starting MNIST pipeline ...
pipeline.py[LINE:40]# INFO     [2025-07-30 15:45:34,401] Configuring filepaths...
pipeline.py[LINE:62]# INFO     [2025-07-30 15:45:34,401] Initializing model
pipeline.py[LINE:68]# INFO     [2025-07-30 15:45:34,403] Initializing model hyperparameters
pipeline.py[LINE:77]# INFO     [2025-07-30 15:45:34,404] Initializing model hyperparameters
model_training.py[LINE:39]# INFO     [2025-07-30 15:45:35,850] Start training
model_training.py[LINE:47]# INFO     [2025-07-30 15:45:35,850] starting training epoch 1..
model_training.py[LINE:60]# INFO     [2025-07-30 15:45:38,421] starting validation epoch 1..
model_training.py[LINE:81]# INFO     [2025-07-30 15:45:38,607] epoch 1 train_loss: 0.3019783127107727, test_loss: 0.15944357986923804, accuracy: 0.9537221337579618
model_training.py[LINE:47]# INFO     [2025-07-30 15:45:38,607] starting training epoch 2..
model_training.py[LINE:60]# INFO     [2025-07-30 15:45:41,848] starting validation epoch 2..
model_training.py[LINE:81]# INFO     [2025-07-30 15:45:42,153] epoch 2 train_loss: 0.12673659816479632, test_loss: 0.10664329037535936, accuracy: 0.9683519108280255
model_training.py[LINE:47]# INFO     [2025-07-30 15:45:42,154] starting training epoch 3..
model_training.py[LINE:60]# INFO     [2025-07-30 15:45:45,504] starting validation epoch 3..
model_training.py[LINE:81]# INFO     [2025-07-30 15:45:45,771] epoch 3 train_loss: 0.08441871218581888, test_loss: 0.09055804374856151, accuracy: 0.972531847133758
model_training.py[LINE:47]# INFO     [2025-07-30 15:45:45,771] starting training epoch 4..
model_training.py[LINE:60]# INFO     [2025-07-30 15:45:48,969] starting validation epoch 4..
model_training.py[LINE:81]# INFO     [2025-07-30 15:45:49,245] epoch 4 train_loss: 0.06098676084487169, test_loss: 0.080618203135102, accuracy: 0.9754179936305732
model_training.py[LINE:47]# INFO     [2025-07-30 15:45:49,246] starting training epoch 5..
model_training.py[LINE:60]# INFO     [2025-07-30 15:45:52,461] starting validation epoch 5..
model_training.py[LINE:81]# INFO     [2025-07-30 15:45:52,737] epoch 5 train_loss: 0.04641147463647986, test_loss: 0.07157745277410844, accuracy: 0.9778065286624203
model_training.py[LINE:47]# INFO     [2025-07-30 15:45:52,737] starting training epoch 6..
model_training.py[LINE:60]# INFO     [2025-07-30 15:45:55,993] starting validation epoch 6..
model_training.py[LINE:81]# INFO     [2025-07-30 15:45:56,276] epoch 6 train_loss: 0.03635440214694952, test_loss: 0.0797747485886497, accuracy: 0.9748208598726115
model_training.py[LINE:47]# INFO     [2025-07-30 15:45:56,276] starting training epoch 7..
model_training.py[LINE:60]# INFO     [2025-07-30 15:45:59,491] starting validation epoch 7..
model_training.py[LINE:81]# INFO     [2025-07-30 15:45:59,759] epoch 7 train_loss: 0.02769915922253238, test_loss: 0.06993031362711176, accuracy: 0.9778065286624203
model_training.py[LINE:47]# INFO     [2025-07-30 15:45:59,760] starting training epoch 8..
model_training.py[LINE:60]# INFO     [2025-07-30 15:46:02,944] starting validation epoch 8..
model_training.py[LINE:81]# INFO     [2025-07-30 15:46:03,205] epoch 8 train_loss: 0.02227135439468389, test_loss: 0.06889945708036257, accuracy: 0.9795979299363057
model_training.py[LINE:47]# INFO     [2025-07-30 15:46:03,206] starting training epoch 9..
model_training.py[LINE:60]# INFO     [2025-07-30 15:46:06,343] starting validation epoch 9..
model_training.py[LINE:81]# INFO     [2025-07-30 15:46:06,598] epoch 9 train_loss: 0.016214504402611397, test_loss: 0.06876025299536462, accuracy: 0.979796974522293
model_training.py[LINE:47]# INFO     [2025-07-30 15:46:06,598] starting training epoch 10..
model_training.py[LINE:60]# INFO     [2025-07-30 15:46:09,734] starting validation epoch 10..
model_training.py[LINE:81]# INFO     [2025-07-30 15:46:10,003] epoch 10 train_loss: 0.013445677928536433, test_loss: 0.07348623245385043, accuracy: 0.9793988853503185
model_training.py[LINE:84]# INFO     [2025-07-30 15:46:10,004] Training finished
pipeline.py[LINE:103]# INFO     [2025-07-30 15:46:10,004] Saving trained model
pipeline.py[LINE:105]# INFO     [2025-07-30 15:46:10,016] Model successfully saved
pipeline.py[LINE:106]# INFO     [2025-07-30 15:46:10,016] MNIST pipeline finished
